brand	technology	touch_screen	display_colors	screen_size	screen_area	screen_to_body_ratio	screen_resolution	rear_camera	front_camera	os	gpu	external_memory	internal_memory	cpu	dimensions	weight	battery	approximate_price	sim_card	net_work	speed	gprs	gps	wifi	nfc	usb	bluetooth	radio	headphone_jack
Vivo	IPS LCD	capacitive touchscreen	16M	6.22" inc	96.6 cm2	82.7%	720 x 1520 px	13 MP, Single	8 MP, Single	Android 8.1 (Oreo); Funtouch 4	- PowerVR GE8320	microSD, up to 256 GB	64 GB, 4 GB RAM (China), 32 GB, 4 GB RAM (India)	- Octa-core 2.0 GHz Cortex-A53	155.2 Х 75.2 Х 7.7 mm	150 g	3260 mAh,  Non-removable Li-Ion	250 EUR	Dual SIM (Nano-SIM, dual stand-by)	GSM / CDMA / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS, GLONASS, BDS	Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot		microUSB 2.0, USB On-The-Go	4.2, A2DP, LE	FM radio	Yes
Vivo	IPS LCD	capacitive touchscreen	16M	6.22" inc	96.6 cm2	82.7%	720 x 1520 px	13 MP, Dual	8 MP, Single	Android 8.1 (Oreo); Funtouch 4	- PowerVR GE8320	microSD, up to 256 GB (dedicated slot)	64 GB, 4 GB RAM	- Octa-core 2.0 GHz Cortex-A53	155.2 Х 75.2 Х 7.7 mm	152 g	3260 mAh,  Non-removable Li-Ion	200 EUR	Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS, GLONASS	Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot		microUSB 2.0, USB On-The-Go	5.0, A2DP, LE	FM radio	Yes
Vivo	IPS LCD	capacitive touchscreen	16M	6.22" inc	96.6 cm2	82.9%	720 x 1520 px	13 MP, Dual	8 MP, Single	Android 8.1 (Oreo); Funtouch 4.5	- Adreno 505	microSD, up to 256 GB	32 GB, 3 GB RAM 16 GB, 2 GB RAM	- Octa-core (2x1.95 GHz Cortex-A53 & 6x1.45 GHz Cortex A53)	155.1 Х 75.1 Х 8.3 mm	163.5 g	4030 mAh,  Non-removable Li-Po	200 EUR	Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE Cat5 150/75 Mbps	Yes	Yes, with A-GPS, GLONASS, BDS	Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot		microUSB 2.0, USB On-The-Go	4.2, A2DP, LE	FM radio	Yes
Vivo	IPS LCD	capacitive touchscreen	16M	6.2" inc	95.9 cm2	82.4%	720 x 1520 px	13 MP, Dual	8 MP, Single	Android 8.1 (Oreo); Funtouch 4.5	- Adreno 505	microSD, up to 256 GB	64 GB, 4 GB RAM	- Octa-core (2x1.95 GHz Cortex-A53 & 6x1.45 GHz Cortex A53)	155.1 Х 75.1 Х 8.3 mm	163.5 g	4030 mAh,  Non-removable Li-Po	200 EUR	Dual SIM (Nano-SIM, dual stand-by)	GSM / CDMA / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE Cat5 150/75 Mbps	Yes	Yes, with A-GPS, GLONASS, BDS	Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot		microUSB 2.0, USB On-The-Go	4.2, A2DP, LE	FM radio	Yes
Vivo	IPS LCD	capacitive touchscreen	16M	6.22" inc	96.6 cm2	82.9%	720 x 1520 px	13 MP, Dual	8 MP, Single	Android 8.1 (Oreo); Funtouch 4.5	- PowerVR GE8320	microSD, up to 256 GB	32 GB, 4 GB RAM	- Octa-core 2.0 GHz Cortex-A53	155.1 Х 75.1 Х 8.3 mm	163.5 g	4030 mAh,  Non-removable Li-Po	None	Single SIM (Nano-SIM)Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE Cat5 150/75 Mbps	Yes	Yes, with A-GPS, GLONASS, BDS	Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot		microUSB 2.0, USB On-The-Go	5.0, A2DP, LE	FM radio	Yes
Vivo	IPS LCD	capacitive touchscreen	16M	6.2" inc	95.9 cm2	82.4%	720 x 1520 px	13 MP, Dual	8 MP, Single	Android 8.1 (Oreo); Funtouch 4.5	- PowerVR GE8320	microSD, up to 256 GB	128 GB, 4 GB RAM	- Octa-core 2.0 GHz Cortex-A53	155.1 Х 75.1 Х 8.3 mm	165 g	4030 mAh,  Non-removable Li-Po	230 EUR	Dual SIM (Nano-SIM, dual stand-by)	GSM / CDMA / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE Cat5 150/75 Mbps	Yes	Yes, with A-GPS, GLONASS, BDS	Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot		microUSB 2.0, USB On-The-Go	4.2, A2DP, LE	FM radio	Yes
Vivo	IPS LCD	capacitive touchscreen	16M	6.22" inc	96.6 cm2	82.9%	720 x 1520 px	13 MP, Dual	20 MP, Single	Android 8.1 (Oreo); Funtouch 4.5	- Adreno 505	microSD, up to 256 GB	64 GB, 4 GB RAM	- Octa-core (2x1.95 GHz Cortex-A53 & 6x1.45 GHz Cortex A53)	155.1 Х 75.1 Х 8.3 mm	163.5 g	4030 mAh,  Non-removable Li-Po	250 EUR	Dual SIM (Nano-SIM, dual stand-by)	GSM / CDMA / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE Cat5 150/75 Mbps	Yes	Yes, with A-GPS, GLONASS, BDS	Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot		microUSB 2.0, USB On-The-Go	4.2, A2DP, LE	FM radio	Yes
Vivo	S-IPS LCD	capacitive touchscreen	16M	6.3" inc	99.1 cm2	84.1%	1080 x 2280 px	16 MP, Dual	16 MP, Single	Android 8.1 (Oreo); Funtouch 4.5	- Mali-G72 MP3	microSD, up to 256 GB (dedicated slot)	128 GB, 4 GB RAM	- Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)	155.9 Х 75.6 Х 8.1 mm	162 g	3315 mAh,  Non-removable Li-Po	250 EUR	Dual SIM (Nano-SIM, dual stand-by)	GSM / CDMA / HSPA / LTE	HSPA, LTE-A	Yes	Yes, with A-GPS, GLONASS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot		microUSB 2.0, USB On-The-Go	5.0, A2DP, LE, EDR	FM radio	Yes
Vivo	IPS LCD	capacitive touchscreen	16M	6.26" inc	97.8 cm2	84.1%	1080 x 2280 px	13 MP, Dual	24 MP, Single	Android 8.1 (Oreo); Funtouch 4	- Adreno 512	microSD, up to 256 GB (uses SIM 2 slot)	64 GB, 4 GB RAM	- Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260)	154.8 Х 75.1 Х 7.9 mm	149.3 g	3260 mAh,  Non-removable Li-Ion	300 EUR	Hybrid Dual SIM (Nano-SIM, dual stand-by)	GSM / CDMA / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps	Yes	Yes, with A-GPS, BDS	Yes		microUSB 2.0, USB On-The-Go	Yes	FM radio	Yes
Vivo	IPS LCD	capacitive touchscreen	16M	6.26" inc	97.8 cm2	84.2%	1080 x 2280 px	16 MP, Dual	16 MP, Single	Android 8.1 (Oreo); Funtouch 4	- Adreno 506	microSD, up to 256 GB	32 GB, 4 GB RAM	- Octa-core 2.2 GHz Cortex-A53	154.8 Х 75 Х 7.9 mm	0 g	3260 mAh,  Non-removable Li-Ion	170 EUR	Dual SIM (Nano-SIM, dual stand-by)	GSM / CDMA / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps	Yes	Yes, with A-GPS, BDS	Wi-Fi 802.11 a/b/g/n, WiFi Direct, hotspot		microUSB 2.0, USB On-The-Go	5.0, A2DP, LE	FM radio, recording	Yes
Vivo	IPS LCD	capacitive touchscreen	16M	6.26" inc	97.8 cm2	84.1%	1080 x 2280 px	13 MP, Dual	16 MP, Single	Android 8.1 (Oreo); Funtouch 4	- Adreno 509	microSD, up to 256 GB (uses SIM 2 slot)	128 GB, 4 GB RAM	- Octa-core 1.8 GHz Kryo 260	154.8 Х 75.1 Х 7.9 mm	149.3 g	3260 mAh,  Non-removable Li-Ion	250 EUR	Hybrid Dual SIM (Nano-SIM, dual stand-by)	GSM / CDMA / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps	Yes	Yes, with A-GPS, BDS	Yes		microUSB 2.0, USB On-The-Go	Yes	FM radio	Yes
Vivo	IPS LCD	capacitive touchscreen	16M	6.3" inc	99.1 cm2	84.0%	1080 x 2280 px	16 MP, Dual	12 MP, Single	Android 8.1 (Oreo)	- Adreno 615-Adreno 616	microSD, up to 256 GB (dedicated slot)	64/128 GB, 6 GB RAM (SDM710) 64 GB, 4 GB RAM (SDM670)	- Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver)-Octa-core (2x2.2 GHz 360 Gold & 6x2.2 GHz Kryo 360 Silver)	156 Х 75.6 Х 8.1 mm	164 g	3315 mAh,  Non-removable Li-Po	250 EUR	Dual SIM (Nano-SIM, dual stand-by)	GSM / CDMA / HSPA / LTE	HSPA, LTE-A	Yes	Yes, with A-GPS, GLONASS, BDS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot		microUSB 2.0, USB On-The-Go	4.2, A2DP, EDR, LE, aptX	FM radio	Yes
Vivo	IPS LCD	capacitive touchscreen	16M	6.3" inc	99.1 cm2	84.0%	1080 x 2280 px	16 MP, Dual	24 MP, Single	Android 8.1 (Oreo)	- Mali-G72 MP3	microSD, up to 256 GB (dedicated slot)	128 GB, 6 GB RAM	- Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)	156 Х 75.6 Х 8.1 mm	164 g	3315 mAh,  Non-removable Li-Po	350 EUR	Dual SIM (Nano-SIM, dual stand-by)	GSM / CDMA / HSPA / LTE	HSPA, LTE-A	Yes	Yes, with A-GPS, GLONASS, BDS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot		microUSB 2.0, USB On-The-Go	4.2, A2DP, EDR, LE, aptX	FM radio	Yes
Vivo	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	71.8%	720 x 1280 px	13 MP, Single	16 MP, Single	Android 6 (Marshmallow); Funtouch 3	None	microSD, up to 256 GB (uses SIM 2 slot)	32 GB, 3 GB RAM	- Octa-core	153.8 Х 75.5 Х 7.6 mm	155 g	3000 mAh,  Non-removable Li-Ion	160 EUR	Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0, USB On-The-Go	4.0, A2DP	FM radio	Yes
Vivo	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	73.8%	1080 x 1920 px	16 MP, Single	20 MP, Dual	Android 6 (Marshmallow); Funtouch 3	- Adreno 506	No	64 GB, 4 GB RAM	- Octa-core 2.0 GHz Cortex-A53	152.6 Х 74 Х 7.3 mm	158.6 g	3160 mAh,  Non-removable Li-Ion	450 EUR	Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS, GLONASS, BDS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, DLNA, hotspot		microUSB 2.0, USB On-The-Go	4.0, A2DP	No	Yes
