brand,technology,display_colors,screen_size,screen_area,screen_to_body_ratio,screen_resolution,rear_camera,front_camera,os,external_memory,internal_memory,cpu,weight,radio,headphone_jack,length,width,high,battery_mah,battery_removable,battery_type,real_price,_4G
Acer,IPS LCD,16.0,4.5,55.8,62.7,518400.0,8.0,2.0,Android 4.2.1,1.0,1.0,1.2,140.0,1.0,1.0,131.0,68.0,9.9,2000,1.0,Li-Ion,1.0,0.0
Acer,TFT,16.0,5.7,89.6,66.2,921600.0,8.0,2.0,Android 4.2,1.0,1.0,1.5,195.0,1.0,1.0,163.0,83.0,9.6,2400,1.0,Li-Po,2.0,0.0
Acer,IPS LCD,16.0,6.0,98.7,69.0,2073600.0,13.0,2.0,Android 4.2.2,1.0,2.0,2.2,229.0,1.0,1.0,166.0,86.2,9.0,3300,0.0,Li-Po,2.0,1.0
Acer,TFT,0.256,3.5,36.5,53.1,153600.0,3.0,0.0,Android 4.1.1,1.0,0.5,1.0,110.0,1.0,1.0,110.0,62.5,12.3,1300,1.0,Li-Ion,0.0,0.0
Acer,TFT,16.0,3.5,36.5,55.8,153600.0,3.15,0.0,Android 4.2,1.0,0.5,1.0,120.0,1.0,1.0,109.0,60.0,10.4,1500,1.0,Li-Ion,0.0,0.0
Acer,IPS LCD,16.0,4.3,51.0,61.0,921600.0,8.0,0.3,Android 4.0,1.0,1.0,1.5,122.0,1.0,1.0,127.0,65.8,9.9,1460,1.0,Li-Ion,1.0,0.0
Acer,TFT,16.0,4.3,51.0,60.0,518400.0,5.0,0.0,Android 4.0.3,1.0,1.0,1.0,145.0,1.0,1.0,129.0,65.9,9.9,1500,1.0,Li-Ion,0.0,0.0
Acer,TFT,16.0,4.3,51.0,60.0,518400.0,5.0,0.0,Android 4.0.3,1.0,1.0,1.0,145.0,1.0,1.0,129.0,65.9,9.9,1500,1.0,Li-Ion,1.0,0.0
Acer,TFT,,3.7,39.0,56.9,384000.0,5.0,0.0,Android 4.0,1.0,0.5,1.0,125.0,1.0,1.0,117.0,58.5,11.5,1300,1.0,Li-Ion,0.0,0.0
Acer,TFT,0.256,3.5,36.5,53.9,153600.0,3.15,0.0,Android 2.3,1.0,0.5,1.0,100.0,1.0,1.0,110.0,61.5,12.3,1300,1.0,Li-Po,0.0,0.0
Acer,TFT,16.0,3.6,36.9,53.9,384000.0,5.0,0.0,Microsoft Windows Phone 7.5,0.0,,1.0,126.0,0.0,1.0,116.0,59.0,13.0,1300,1.0,Li-Ion,0.0,0.0
Acer,TFT,0.256,2.6,20.9,28.6,76800.0,3.15,0.0,Android 2.2,1.0,0.25,0.6,109.0,1.0,1.0,116.0,63.0,12.0,1300,1.0,Li-Ion,1.0,0.0
Acer,TFT,16.0,4.8,57.1,62.5,491520.0,8.0,2.0,Android 2.3,1.0,0.5,1.0,185.0,1.0,1.0,141.7,64.5,13.6,1500,1.0,Li-Po,1.0,0.0
Acer,TFT,0.256,3.5,33.8,48.3,153600.0,5.0,0.0,Android 2.3,1.0,0.5,0.8,138.0,1.0,1.0,115.0,60.8,13.4,0,0.0,,0.0,0.0
Acer,TFT,0.256,3.2,30.5,48.0,153600.0,5.0,0.0,Android 2.2,1.0,0.5,0.6,108.0,1.0,1.0,110.4,57.5,13.0,1300,1.0,Li-Ion,0.0,0.0
Acer,TFT,,2.8,24.3,43.4,76800.0,3.15,0.0,Android 1.5,1.0,0.25,0.41600000000000004,105.0,1.0,1.0,103.5,54.0,13.4,1500,1.0,Li-Ion,0.0,0.0
Acer,TFT,,2.8,24.3,43.0,76800.0,3.15,0.0,Android 1.6,1.0,0.25,0.41600000000000004,105.0,1.0,1.0,104.5,54.0,13.2,1500,1.0,Li-Ion,0.0,0.0
Acer,TFT,0.065,2.6,20.9,29.1,76800.0,3.15,0.0,Android 1.6,1.0,0.25,0.41600000000000004,109.0,1.0,1.0,115.0,62.5,11.5,1500,1.0,Li-Ion,0.0,0.0
Acer,TFT,0.256,2.8,24.3,41.6,76800.0,3.15,0.0,Android 2.2,1.0,0.25,0.6,95.0,1.0,1.0,104.5,55.8,12.8,1300,1.0,Li-Ion,0.0,0.0
Acer,TFT,0.256,3.2,30.5,44.7,153600.0,3.15,0.0,Android 2.1,1.0,0.25,0.6,125.0,1.0,1.0,115.0,59.3,12.0,1090,1.0,Li-Po,0.0,0.0
Acer,TFT,,3.2,30.5,44.4,153600.0,3.15,0.0,based OPhone 1.5,1.0,0.25,,130.0,0.0,0.0,118.5,58.0,13.5,1500,1.0,Li-Ion,0.0,0.0
Acer,TFT,0.256,3.5,34.9,48.5,384000.0,5.0,0.0,Android 2.1,1.0,0.5,0.768,135.0,0.0,1.0,115.0,62.5,12.5,1350,1.0,Li-Ion,0.0,0.0
Acer,TFT,16.0,3.6,36.9,50.9,384000.0,5.0,0.0,Android 2.2,1.0,0.5,0.8,135.0,0.0,1.0,115.0,63.0,13.5,1500,1.0,Li-Ion,0.0,0.0
Acer,TFT,0.065,3.2,29.1,48.2,96000.0,3.15,0.0,Microsoft Windows Mobile 6.5.3,1.0,0.25,0.528,130.6,0.0,1.0,110.0,55.0,15.1,970,1.0,Li-Po,0.0,0.0
Acer,TFT,0.256,3.2,30.5,44.7,153600.0,3.15,0.0,Microsoft Windows Mobile 6.5.3,1.0,0.25,0.6,125.0,1.0,1.0,115.0,59.3,12.0,1090,1.0,Li-Po,0.0,0.0
Acer,AMOLED,16.0,3.7,39.0,51.8,384000.0,5.0,0.0,Android 2.1,1.0,0.5,1.0,140.0,1.0,1.0,119.5,63.0,11.2,1400,1.0,Li-Ion,0.0,0.0
Acer,TFT,0.065,3.2,29.1,46.1,96000.0,2.0,0.0,Microsoft Windows Mobile 6.5,1.0,0.25,0.528,118.0,0.0,0.0,113.0,56.0,12.8,1140,1.0,Li-Ion,1.0,0.0
Acer,TFT,0.065,3.2,29.1,46.1,96000.0,2.0,0.0,Microsoft Windows Mobile 6.5,1.0,0.25,0.528,118.0,0.0,0.0,113.0,56.0,12.8,1140,1.0,Li-Ion,1.0,0.0
Acer,TFT,0.065,3.0,25.6,43.5,96000.0,3.15,0.0,Microsoft Windows Mobile 6.5,1.0,0.25,0.528,146.0,0.0,0.0,110.0,53.5,15.4,1140,1.0,Li-Ion,1.0,0.0
Acer,TFT,0.065,2.8,24.3,37.5,76800.0,2.0,0.0,Microsoft Windows Mobile 6.1,1.0,,0.533,133.0,1.0,0.0,109.6,59.0,15.6,1260,1.0,Li-Ion,1.0,0.0
Acer,TFT,0.065,2.8,24.3,37.9,307200.0,3.15,0.3,Microsoft Windows Mobile 6.1,1.0,0.125,0.533,147.0,0.0,0.0,106.0,60.5,17.0,1530,1.0,Li-Po,0.0,0.0
Acer,TFT,0.065,2.8,24.3,37.9,307200.0,3.15,0.3,Microsoft Windows Mobile 6.1,1.0,0.125,0.533,147.0,0.0,0.0,106.0,60.5,17.0,1530,1.0,Li-Po,0.0,0.0
Acer,TFT,0.065,3.8,41.1,55.1,384000.0,3.15,0.0,Microsoft Windows Mobile 6.1,1.0,0.125,0.533,150.0,1.0,0.0,117.5,63.5,15.8,1530,1.0,Li-Ion,1.0,0.0
Acer,TFT,0.256,3.5,34.9,48.5,384000.0,5.0,0.0,Android 1.6,1.0,0.25,0.768,135.0,0.0,1.0,115.0,62.5,12.5,1350,1.0,Li-Ion,0.0,0.0
Acer,TFT,0.065,3.8,41.1,55.7,384000.0,5.0,0.3,Microsoft Windows Mobile 6.1,1.0,,0.533,188.0,1.0,0.0,119.0,62.0,17.1,1530,1.0,Li-Ion,1.0,0.0
Acer,TFT,0.065,3.8,41.1,55.0,384000.0,5.0,0.0,Microsoft Windows Mobile 6.5,1.0,0.25,1.0,130.0,1.0,1.0,118.6,63.0,12.0,1350,1.0,Li-Po,1.0,0.0
Alcatel,IPS LCD,16.0,5.5,78.1,74.6,1036800.0,13.0,5.0,Android 10.0,1.0,2.0,1.3,168.0,1.0,1.0,146.1,71.6,9.9,3000,0.0,Li-Ion,0.0,1.0
Alcatel,IPS LCD,16.0,6.22,96.6,81.6,1094400.0,13.0,5.0,Android 10.0,1.0,3.0,1.8,165.0,1.0,1.0,158.7,74.6,8.5,4000,0.0,Li-Po,0.0,1.0
Alcatel,IPS LCD,16.0,6.22,96.6,81.3,1094400.0,13.0,5.0,Android 10.0,1.0,2.0,1.8,160.0,1.0,1.0,158.7,74.8,8.9,4000,0.0,Li-Po,0.0,1.0
Alcatel,IPS LCD,16.0,6.22,96.6,81.6,1094400.0,48.0,8.0,Android 10.0,1.0,4.0,2.0,165.0,1.0,1.0,158.7,74.6,8.5,4000,0.0,Li-Po,0.0,1.0
Alcatel,IPS LCD,16.0,6.52,102.6,82.9,1152000.0,16.0,8.0,Android 10,1.0,4.0,2.0,186.0,1.0,1.0,165.0,75.0,9.1,5000,0.0,Li-Po,1.0,1.0
Alcatel,IPS LCD,16.0,6.53,104.7,83.5,2527200.0,64.0,16.0,Android 10.0,1.0,6.0,2.4,210.0,1.0,1.0,163.7,76.6,9.0,4500,0.0,Li-Po,2.0,1.0
Alcatel,AMOLED,16.0,6.47,102.8,88.7,2527200.0,48.0,16.0,Android 10,1.0,6.0,2.0,172.0,1.0,1.0,158.9,72.9,8.9,4500,0.0,Li-Po,2.0,1.0
