brand	technology	touch_screen	display_colors	screen_size	screen_area	screen_to_body_ratio	screen_resolution	rear_camera	front_camera	os	gpu	external_memory	internal_memory	cpu	dimensions	weight	battery	approximate_price	sim_card	net_work	speed	gprs	gps	wifi	nfc	usb	bluetooth	radio	headphone_jack
Samsung	Super AMOLED	capacitive touchscreen	16M	5.9" inc	85.5 cm2	85.5%	1080 x 2340 px	16 MP, Dual	25 MP, Single	Android 9.0 (Pie)	- Mali-G71 MP2	microSD, up to 1 TB (dedicated slot)	64 GB, 4 GB RAM	- Octa-core (2x1.77 GHz Cortex-A73 & 6x1.59 GHz Cortex-A53)	144.4 Х 69.2 Х 7.9 mm	140 g	3100 mAh,  Non-removable Li-Po	220 EUR	Single SIM (Nano-SIM)Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat12 600/150 Mbps	Yes	Yes, with A-GPS, GLONASS, GALILEO, BDS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot	Yes	3.1, Type-C 1.0 reversible connector	5.0, A2DP, LE	FM radio	Yes
Samsung	Super AMOLED	capacitive touchscreen	16M	6.4" inc	100.5 cm2	84.9%	1080 x 2340 px	25 MP, Triple	25 MP, Single	Android 9.0 (Pie)	- Mali-G72 MP3	microSD, up to 512 GB (dedicated slot)	64/128 GB, 4/6 GB RAM	- Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)	158.5 Х 74.7 Х 7.7 mm	166 g	4000 mAh,  Non-removable Li-Po	250 EUR	Single SIM (Nano-SIM)Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE-A	Yes	Yes, with A-GPS, GLONASS, GALILEO, BDS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot	Yes (market dependent)	2.0, Type-C 1.0 reversible connector	5.0, A2DP, LE	FM radio	Yes
Samsung	Super AMOLED	capacitive touchscreen	16M	6.4" inc	100.5 cm2	85.1%	1080 x 2340 px	48 MP, Triple	32 MP, Single	Android 9.0 (Pie)	- Mali-G72 MP3	microSD, up to 1 TB (dedicated slot)	64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM	- Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)	158.5 Х 74.5 Х 7.7 mm	169 g	4000 mAh,  Non-removable Li-Po	290 EUR	Single SIM (Nano-SIM)Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE-A	Yes	Yes, with A-GPS, GLONASS, GALILEO, BDS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot	Yes (market dependent)	2.0, Type-C 1.0 reversible connector, USB On-The-Go	5.0, A2DP, LE	FM radio	Yes
Samsung	Super AMOLED	capacitive touchscreen	16M	6.5" inc	102.0 cm2	87.4%	1080 x 2400 px	48 MP, Quad	32 MP, Single	Android 10.0; One UI 2	- Mali-G72 MP3	microSD, up to 1 TB (dedicated slot)	64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM	- Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)	158.5 Х 73.6 Х 7.9 mm	172 g	4000 mAh,  Non-removable Li-Po	$280	Single SIM (Nano-SIM)Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE-A	Yes	Yes, with A-GPS, GLONASS, GALILEO, BDS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot	Yes	2.0, Type-C 1.0 reversible connector, USB On-The-Go	5.0, A2DP, LE	FM radio	Yes
Samsung	PLS TFT	capacitive touchscreen	16M	6.3" inc	97.4 cm2	84.9%	1080 x 2340 px	32 MP, Triple	16 MP, Single	Android 9.0 (Pie); One UI	- Adreno 612	microSD, up to 1 TB (uses shared SIM slot)	128 GB, 6 GB RAM	- Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver)	155.3 Х 73.9 Х 7.9 mm	168 g	3500 mAh,  Non-removable Li-Po	290 EUR	Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 400/50 Mbps	Yes	Yes, with A-GPS, GLONASS, GALILEO, BDS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot	Yes	2.0, Type-C 1.0 reversible connector	5.0, A2DP, LE		No
Samsung	Super AMOLED	capacitive touchscreen	16M	6.7" inc	108.4 cm2	86%	1080 x 2400 px	32 MP, Triple	32 MP, Single	Android 9.0 (Pie)	- Adreno 612	microSD, up to 512 GB (dedicated slot)	128 GB, 6/8 GB RAM	- Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver)	164.3 Х 76.7 Х 7.9 mm	183 g	4500 mAh,  Non-removable Li-Po	330 EUR	Single SIM (Nano-SIM)Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE-A	Yes	Yes, with A-GPS, GLONASS, GALILEO, BDS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot	Yes (market dependent)	2.0, Type-C 1.0 reversible connector	5.0, A2DP, LE	FM radio	Yes
Samsung	Super AMOLED	capacitive touchscreen	16M	6.7" inc	108.4 cm2	86.0%	1080 x 2400 px	64 MP, Triple	32 MP, Single	Android 9.0 (Pie)	- Adreno 612	microSD, up to 1 TB (dedicated slot)	128GB 6GB RAM, 128GB 8GB RAM	- Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver)	164.3 Х 76.7 Х 7.9 mm	187 g	4500 mAh,  Non-removable Li-Po	380 EUR	Single SIM (Nano-SIM)Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE-A	Yes	Yes, with A-GPS, GLONASS, GALILEO, BDS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot	Yes	2.0, Type-C 1.0 reversible connector	5.0, A2DP, LE	FM radio	Yes
Samsung	Super AMOLED Plus	capacitive touchscreen	16M	6.7" inc	108.4 cm2	87.2%	1080 x 2400 px	64 MP, Quad	32 MP, Single	Android 10.0; One UI 2	- Adreno 618	microSD, up to 1 TB (dedicated slot)	128GB 6GB RAM, 128GB 8GB RAM	- Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver)	163.6 Х 76 Х 7.7 mm	179 g	4500 mAh,  Non-removable Li-Po	399 EUR	Single SIM (Nano-SIM)Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE-A	Yes	Yes, with A-GPS, GLONASS, GALILEO, BDS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot	Yes (market dependent)	2.0, Type-C 1.0 reversible connector, USB On-The-Go	5.0, A2DP, LE	FM radio	Yes
Samsung	Super AMOLED	capacitive touchscreen	16M	6.7" inc	108.4 cm2	85.8%	1080 x 2400 px	48 MP, Triple	48 MP, Triple	Android 9.0 (Pie); One UI	- Adreno 618	No	128 GB, 8 GB RAM	- Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver)	165.2 Х 76.5 Х 9.3 mm	220 g	3700 mAh,  Non-removable Li-Po	650 EUR	Single SIM (Nano-SIM)Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE-A	Yes	Yes, with A-GPS, GLONASS, GALILEO, BDS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot	Yes	2.0, Type-C 1.0 reversible connector	5.0, A2DP, LE	FM radio	No
Samsung	Super AMOLED	capacitive touchscreen	16M	6.7" inc	108.4 cm2	86.1%	1080 x 2400 px	48 MP, Triple	32 MP, Single	Android 9.0 (Pie); One UI	- Adreno 640	microSD, up to 512 GB (6GB model only)	128GB 6GB RAM, 128GB 8GB RAM	- Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)	164.8 Х 76.4 Х 8.4 mm	206 g	4500 mAh,  Non-removable Li-Po	None	Single SIM (Nano-SIM)Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE / 5G	HSPA 42.2/5.76 Mbps, LTE-A, 5G	Yes	Yes, with A-GPS, GLONASS, GALILEO, BDS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot	Yes	3.1, Type-C 1.0 reversible connector	5.0, A2DP, LE		No
