brand	technology	touch_screen	display_colors	screen_size	screen_area	screen_to_body_ratio	screen_resolution	rear_camera	front_camera	os	gpu	external_memory	internal_memory	cpu	dimensions	weight	battery	approximate_price	sim_card	net_work	speed	gprs	gps	wifi	nfc	usb	bluetooth	radio	headphone_jack
Lava	IPS LCD	capacitive touchscreen	16M	5.45" inc	76.7 cm2	74.5%	720 x 1440 px	8 MP, Single	5 MP, Single	Android 8.0 Oreo (Go edition) - 1 GB RAM modelAndroid 8.1 (Oreo) - 2 GB RAM model	- PowerVR GE8100	microSD, up to 32 GB	16 GB, 1/2 GB RAM	- Quad-core 1.5 GHz Cortex-A53	146.5 Х 70.2 Х 8.7 mm	139 g	3000 mAh,  Removable Li-Po	5700 INR	Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Lava	IPS LCD	capacitive touchscreen	16M	5.7" inc	83.8 cm2	75.5%	720 x 1440 px	13 MP, Single	13 MP, Single	Android 8.1 (Oreo)	- PowerVR GE8320	microSD, up to 128 GB (dedicated slot)	32 GB, 3 GB RAM 16 GB, 2 GB RAM	- Quad-core 2.0 GHz Cortex-A53	152.2 Х 73 Х 7.9 mm	141 g	3000 mAh,  Non-removable Li-Po	None	Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, WiFi Direct, hotspot		microUSB 2.0	4.2, A2DP, LE	FM radio	Yes
Lava	IPS LCD	capacitive touchscreen	16M	5.7" inc	83.8 cm2	75.7%	720 x 1440 px	13 MP, Single	8 MP, Single	Android 7.1 (Nougat)	- PowerVR GE8100	microSD, up to 128 GB (dedicated slot)	32 GB, 3 GB RAM	- Quad-core 1.3 GHz Cortex-A53	152 Х 72.9 Х 7.7 mm	147 g	3000 mAh,  Non-removable Li-Po	10000 INR	Dual SIM (Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot		microUSB 2.0, USB On-The-Go	4.0, A2DP	FM radio	Yes
Lava	TN	capacitive touchscreen		4" inc	44.1 cm2	56.3%	480 x 854 px	5 MP, Single	2 MP, Single	Android 7.0 (Nougat)	- Mali-T720MP1	microSD, up to 32 GB	8 GB, 1 GB RAM	- Quad-core 1.1 GHz Cortex-A53	123 Х 63.7 Х 10.1 mm	141 g	1500 mAh,  Removable Li-Ion	5400 INR	Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	2.1	Stereo FM radio with RDS; reco	Yes
Lava	TN	capacitive touchscreen		5" inc	68.9 cm2	65.0%	480 x 854 px	5 MP, Single	5 MP, Single	Android 6.0 (Marshmallow)	None	microSD, up to 32 GB	8 GB, 1 GB RAM	- Quad-core 1.2 GHz	145.5 Х 72.8 Х 9.3 mm	0 g	2000 mAh,  Removable Li-Ion	None	Dual SIM	GSM / HSPA	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Lava	TN	capacitive touchscreen	16M	4.5" inc	55.8 cm2	61.5%	480 x 854 px	5 MP, Single	5 MP, Single	Android 6.0 (Marshmallow)	- Mali-400	microSD, up to 32 GB (dedicated slot)	8 GB, 1 GB RAM	- Quad-core 1.3 GHz	135 Х 67.2 Х 9.5 mm	140 g	2000 mAh,  Removable Li-Ion	6099 INR	Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	Stereo FM radio with RDS; reco	Yes
Lava	IPS LCD	capacitive touchscreen	16M	5" inc	68.9 cm2	66.0%	480 x 854 px	8 MP, Single	5 MP, Single	Android 7.0 (Nougat)	- Mali-400	microSD, up to 32 GB	16 GB, 2 GB RAM	- Quad-core 1.3 GHz	145 Х 72 Х 9.2 mm	160 g	2350 mAh,  Removable Li-Ion	7700 INR	Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	Stereo FM radio with RDS; reco	Yes
Lava	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	69.0%	720 x 1280 px	8 MP, Single	5 MP, Single	Android 6.0 (Marshmallow)	None	microSD, up to 32 GB	8 GB, 1 GB RAM	- Quad-core 1.3 GHz	155 Х 78 Х 9 mm	175 g	2600 mAh,  Removable Li-Ion	None	Dual SIM	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Lava	IPS LCD	capacitive touchscreen	16M	5" inc	68.9 cm2	67.8%	720 x 1280 px	8 MP, Single	5 MP, Single	Android 6.0 (Marshmallow)	- Mali-T720MP2	microSD, up to 128 GB (uses SIM 2 slot)	16 GB, 2/3 GB RAM	- Quad-core 1.3 GHz Cortex-A53	143.2 Х 71 Х 8.4 mm	148 g	2620 mAh,  Non-removable Li-Ion	160 EUR	Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0, USB On-The-Go	4.0, A2DP	FM radio	Yes
Lava	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	72.0%	720 x 1280 px	13 MP, Single	8 MP, Single	Android 6.0 (Marshmallow)	- Mali-T860MP2	microSD, up to 128 GB (uses SIM 2 slot)	32 GB, 4 GB RAM	- Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)	151.5 Х 76.4 Х 8.5 mm	163 g	3020 mAh,  Non-removable Li-Ion	250 EUR	Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0, USB On-The-Go	4.0, A2DP	FM radio	Yes
