brand	technology	touch_screen	display_colors	screen_size	screen_area	screen_to_body_ratio	screen_resolution	rear_camera	front_camera	os	gpu	external_memory	internal_memory	cpu	dimensions	weight	battery	approximate_price	sim_card	net_work	speed	gprs	gps	wifi	nfc	usb	bluetooth	radio	headphone_jack
Acer	IPS LCD	capacitive touchscreen	16M	4.5" inc	55.8 cm2	61.7%	480 x 854 px	5 MP, Single	2 MP, Single	Microsoft Windows 10	- Adreno 304	microSD (dedicated slot)	8 GB, 1 GB RAM	- Quad-core 1.1 GHz Cortex-A7	136 Х 66.5 Х 9.6 mm	142 g	2000 mAh,  Removable Li-Ion	None	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA	HSPA 42.2/5.76 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	4.5" inc	55.8 cm2	61.7%	480 x 854 px	5 MP, Single	5 MP, Single	Microsoft Windows 10	- Adreno 304	microSD (dedicated slot)	8 GB, 1 GB RAM	- Quad-core 1.0 GHz Cortex-A7	136 Х 66.5 Х 9.6 mm	142 g	2000 mAh,  Removable Li-Ion	None	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	69.0%	720 x 1280 px	13 MP, Single	13 MP, Single	Android 5.1 (Lollipop)	- Mali-T720MP4	microSD, up to 32 GB (dedicated slot)	32 GB, 3 GB RAM	- Octa-core 1.3 GHz Cortex-A53	153.3 Х 78.8 Х 8.5 mm	166 g	4020 mAh,  Removable Li-Po	230 EUR	Triple SIM (Micro-SIM)	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP, LE	FM radio	Yes
Acer		capacitive touchscreen		4" inc	45.5 cm2	56.8%	480 x 800 px	5 MP, Single	2 MP, Single	Android 5.0 (Lollipop)	- Adreno 302	microSD, up to 32 GB (dedicated slot)	8 GB, 1 GB RAM	- Dual-core 1.2 GHz Cortex-A7	125.3 Х 64 Х 9.6 mm	120 g	1300 mAh,  Removable Li-Ion	90 EUR	Single SIM (Mini-SIM)Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)	GSM / HSPA	HSPA	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	4.5" inc	55.8 cm2	61.7%	480 x 854 px	5 MP, Single	2 MP, Single	Android 5.1 (Lollipop)	- Adreno 304	microSD (dedicated slot)	8 GB, 1 GB RAM	- Quad-core 1.0 GHz Cortex-A7	136 Х 66.5 Х 9.6 mm	142 g	2000 mAh,  Removable Li-Po	90 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA	HSPA 42.2/5.76 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	4.5" inc	55.8 cm2	61.7%	480 x 854 px	5 MP, Single	5 MP, Single	Android 5.1 (Lollipop)	- Adreno 304	microSD (dedicated slot)	8 GB, 1 GB RAM	- Quad-core 1.1 GHz Cortex-A7	136 Х 66.5 Х 9.6 mm	142 g	2000 mAh,  Removable Li-Ion	110 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	4.5" inc	55.8 cm2	61.5%	540 x 960 px	5 MP, Single	2 MP, Single	Android 4.4.4 (KitKat)	- Mali-T760MP2	microSD, up to 32 GB (dedicated slot)	8 GB, 1 GB RAM16 GB, 2 GB RAM	- Quad-core 1.3 GHz Cortex-A53	136 Х 66.7 Х 9.9 mm	145 g	2000 mAh,  Removable Li-Po	130 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	TFT	capacitive touchscreen		5" inc	75.7 cm2	57.1%	480 x 854 px	8 MP, Single	2 MP, Single	Android 4.4.2 (KitKat)	- Mali-400MP2	microSD, up to 32 GB (dedicated slot)	8 GB, 1 GB RAM16 GB, 2 GB RAM	- Quad-core 1.3 GHz Cortex-A7	154 Х 86 Х 6.4 mm	118 g	2000 mAh,  Removable Li-Po	130 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA	HSPA	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	5" inc	68.9 cm2	68.1%	720 x 1280 px	8 MP, Single	8 MP, Single	Android 5.1 (Lollipop)	- Mali-T720MP2	microSD (dedicated slot)	8 GB, 1 GB RAM16 GB, 2 GB RAM	- Quad-core 1.3 GHz Cortex-A53	144 Х 70.3 Х 8.9 mm	145 g	2420 mAh,  Removable Li-Ion	150 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Acer	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	68.8%	720 x 1280 px	8 MP, Single	8 MP, Single	Android 5.1 (Lollipop)	- Mali-T720MP2	microSD (dedicated slot)	8 GB, 1 GB RAM16 GB, 2 GB RAM	- Quad-core 1.3 GHz Cortex-A53	156.3 Х 77.5 Х 8.9 mm	165 g	4000 mAh,  Removable Li-Ion	200 EUR	Single SIM (Micro-SIM)Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0, USB On-The-Go	4.0, A2DP	FM radio	Yes
