brand	technology	touch_screen	display_colors	screen_size	screen_area	screen_to_body_ratio	screen_resolution	rear_camera	front_camera	os	gpu	external_memory	internal_memory	cpu	dimensions	weight	battery	approximate_price	sim_card	net_work	speed	gprs	gps	wifi	nfc	usb	bluetooth	radio	headphone_jack
Coolpad	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	69.7%	720 x 1280 px	13 MP, Single	5 MP, Single	Android 6.0 (Marshmallow)	- Adreno 405	microSD, up to 32 GB	32 GB, 3 GB RAM	- Octa-core (4x1.3 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)	154.5 Х 77.4 Х 8.3 mm	163 g	2500 mAh,  Non-removable Li-Po	None	Dual SIM	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot		microUSB 2.0, USB Host	4.0, A2DP	Stereo FM radio; recording	Yes
Coolpad	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	72.5%	1080 x 1920 px	13 MP, Single	8 MP, Single	Android 6 (Marshmallow); Cool UI 8	- Adreno 405	microSD, up to 128 GB (uses SIM 2 slot)	32/64 GB, 4 GB RAM	- Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)	152 Х 75.7 Х 8.9 mm	173.4 g	4010 mAh,  Non-removable Li-Ion	180 EUR	Hybrid Dual SIM	GSM / HSPA / LTE	HSPA, LTE	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0, USB On-The-Go	4.0, A2DP	FM radio	Yes
Coolpad	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	70.8%	720 x 1280 px	13 MP, Single	5 MP, Single	Android 5.1 (Lollipop); Cool UI 8	- Adreno 405	microSD, up to 32 GB (uses SIM 2 slot)	16 GB, 3 GB RAM	- Octa-core (4x1.36 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53)	154 Х 76.5 Х 8.7 mm	163 g	2500 mAh,  Non-removable Li-Ion	200 EUR	Hybrid Dual SIM	GSM / HSPA / LTE	HSPA, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Coolpad	IPS LCD	capacitive touchscreen	16M	4.7" inc	60.9 cm2	64.6%	720 x 1280 px	8 MP, Single	5 MP, Single	Android 5.1 (Lollipop)	- Adreno 306	microSD, up to 32 GB (uses SIM 2 slot)	16 GB, 2 GB RAM	- Quad-core 1.2 GHz Cortex-A53	139 Х 67.8 Х 7.9 mm	120 g	1800 mAh,  Non-removable Li-Ion	180 EUR	Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS, GLONASS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.1, A2DP, LE	FM radio	Yes
Coolpad	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	70.3%	540 x 960 px	8 MP, Single	2 MP, Single	Android 5.1 (Lollipop)	- Adreno 306	microSD, up to 32 GB	8 GB, 1 GB RAM	- Quad-core 1.2 GHz Cortex-A53	153 Х 77.5 Х 8.6 mm	158 g	2500 mAh,  Non-removable Li-Ion	160 EUR	Dual SIM (Micro-SIM, dual stand-by)	GSM / HSPA / LTE	HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS, GLONASS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP, LE	FM radio	Yes
Coolpad	IPS LCD	capacitive touchscreen	16M	5.5" inc	83.4 cm2	71.7%	720 x 1280 px	13 MP, Single	5 MP, Single	Android 5.1 (Lollipop)	- Mali-T720MP3	microSD, up to 64 GB (dedicated slot)	16 GB, 3 GB RAM	- Octa-core 1.3 GHz Cortex-A53	151 Х 77 Х 9.3 mm	0 g	3000 mAh,  Non-removable Li-Ion	120 EUR	Dual SIM	GSM / HSPA / LTE	HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Coolpad	IPS LCD	capacitive touchscreen	16M	4.7" inc	60.9 cm2	64.6%	540 x 960 px	8 MP, Single	5 MP, Single	Android 5.1 (Lollipop)	- Adreno 306	microSD, up to 32 GB (dedicated slot)	8 GB, 1 GB RAM	- Quad-core 1.2 GHz Cortex-A53	139 Х 67.8 Х 8 mm	119 g	1800 mAh,  Non-removable Li-Ion	150 EUR	Micro-SIM	GSM / HSPA / LTE	HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps	Yes	Yes, with A-GPS, GLONASS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP, LE	FM radio	Yes
Coolpad	IPS LCD	capacitive touchscreen		4.5" inc	55.8 cm2	64.2%	480 x 854 px	5 MP, Single	2 MP, Single	Android 5.1 (Lollipop)	- Mali-400MP2	microSD, up to 32 GB (dedicated slot)	8 GB, 1 GB RAM	- Quad-core 1.3 GHz Cortex-A7	133 Х 65.4 Х 9 mm	0 g	1800 mAh,  Removable Li-Ion	None	Nano-SIM	GSM / HSPA	HSPA	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	4.0, A2DP	FM radio	Yes
Dell	Super AMOLED	capacitive touchscreen	16M	4.3" inc	51.0 cm2	63.3%	540 x 960 px	8 MP, Single	1.3 MP, Single		- Adreno 220	microSD, up to 32 GB (dedicated slot)	8 GB ROM, 1 GB RAM	- Dual-core 1.5 GHz Scorpion	124.9 Х 64.5 Х 10.3 mm	145 g	1520 mAh,  Removable Li-Ion	450 EUR	Micro-SIM	GSM / HSPA	HSPA 14.4/5.76 Mbps	Yes	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, hotspot		microUSB 2.0	2.1, A2DP, EDR	Stereo FM radio, RDS	Yes
Dell	TFT	capacitive touchscreen	256K	3.5" inc	33.8 cm2	47.8%	360 x 640 px	5 MP, Single	0 MP,	Android 1.5 (Cupcake)	None	microSD, up to 32 GB (dedicated slot), 2 GB included		- Marvell PXA310 624 MHz	122 Х 57.9 Х 11.7 mm	104 g	1000 mAh,  Removable Li-Ion	230 EUR	Mini-SIM	GSM / HSPA	HSPA 3.6/0.384 Mbps	Class 10	Yes, with A-GPS	Wi-Fi 802.11 b/g		miniUSB 2.0	2.0, A2DP	No	No
