brand	technology	touch_screen	display_colors	screen_size	screen_area	screen_to_body_ratio	screen_resolution	rear_camera	front_camera	os	gpu	external_memory	internal_memory	cpu	dimensions	weight	battery	approximate_price	sim_card	net_work	speed	gprs	gps	wifi	nfc	usb	bluetooth	radio	headphone_jack
Motorola	TFT	resistive touchscreen	65K	3" inc	27.9 cm2	35.8%	480 x 640 px	3.15 MP, Single	0.3 MP, Single	Microsoft Windows Mobile 6.5.3 Professional	- Adreno 200	microSD, up to 32 GB (dedicated slot)	256 MB RAM, 1 GB Flash	- 600 MHz ARM 11	129 Х 60.4 Х 16.4 mm	156 g	1540 mAh,  Removable Li-Ion	220 EUR	Mini-SIM	GSM / HSPA	HSPA	Class 10	Yes, with A-GPS	Wi-Fi 802.11 b/g		microUSB 2.0	2.0, A2DP	No	No
Motorola	TFT	capacitive touchscreen	256K	2.8" inc	24.3 cm2	54.1%	320 x 240 px	3.15 MP, Single	0 MP,	Android 2.1 (Eclair)	- PowerVR SGX530	microSD, up to 32 GB (dedicated slot), 2 GB included	512 MB, 512 MB RAM	- 600 MHz Cortex-A8	67 Х 67 Х 17 mm	120 g	1130 mAh,  Removable Li-Ion	90 EUR	Mini-SIM	GSM / HSPA	HSPA 7.2/2 Mbps	Class 12	Yes, with A-GPS	Wi-Fi 802.11 b/g/n		microUSB 2.0	2.1, A2DP	Stereo FM radio, RDS	Yes
Motorola	TFT	capacitive touchscreen		3.1" inc	28.6 cm2	45.4%	320 x 480 px	3.15 MP, Single	0 MP,	Android 2.2 (Froyo)	- PowerVR SGX530	microSD, up to 32 GB (dedicated slot), 2 GB included	512 MB, 512 MB RAM	- 720 MHz Cortex-A8	109.5 Х 57.5 Х 15 mm	145 g	1170 mAh,  Removable Li-Ion	170 EUR	Mini-SIM	GSM / HSPA	HSPA 7.2/2 Mbps	Class 12	Yes, with A-GPS	Wi-Fi 802.11 b/g/n		microUSB 2.0	2.1, A2DP	FM radio	Yes
Motorola	TFT	capacitive touchscreen	16M	3.7" inc	37.7 cm2	53.6%	480 x 854 px	5 MP, Single	0 MP,	Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)	- PowerVR SGX530	microSD, up to 32 GB (dedicated slot), 8 GB included	8 GB; 512 MB RAM	- 1.0 GHz Cortex-A8	116.3 Х 60.5 Х 13.7 mm	169 g	1400 mAh,  Removable Li-Po	170 EUR	Mini-SIM	GSM / HSPA	HSPA	Class 12	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, DLNA, hotspot		microUSB 2.0	2.1, A2DP, EDR	No	Yes
Motorola	TFT	capacitive touchscreen	16M	3.7" inc	37.7 cm2	53.6%	480 x 854 px	5 MP, Single	0 MP,	Android 2.2 (Froyo)	- PowerVR SGX530	microSD, up to 32 GB (dedicated slot)	8 GB, 512 MB RAM	- 1.0 GHz Cortex-A8	116.3 Х 60.5 Х 13.7 mm	169 g	1390 mAh,  Removable Li-Po	110 EUR	Mini-SIM	GSM / HSPA	HSPA	Class 12	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, DLNA, hotspot		microUSB 2.0	2.1, A2DP, EDR	No	Yes
Motorola	TFT	capacitive touchscreen	16M	3.7" inc	37.7 cm2	53.4%	480 x 854 px	8 MP, Single	0 MP,	Android 2.1 (Eclair)	- PowerVR SGX530	microSD, up to 32 GB (dedicated slot), 8 GB included	512 MB, 256 MB RAM	- 600 MHz Cortex-A8	116 Х 60.9 Х 10.9 mm	139 g	1390 mAh,  Removable Li-Po	190 EUR	Mini-SIM	GSM / HSPA	HSPA 10.2/5.76 Mbps	Class 12	Yes, with A-GPS	Wi-Fi 802.11 b/g, DLNA		microUSB 2.0	2.1, A2DP	Stereo FM radio, RDS	Yes
Motorola	TFT	capacitive touchscreen	16M	3.7" inc	37.7 cm2	59.8%	480 x 854 px	5 MP, Single	0 MP,	Android 2.2 (Froyo)	- PowerVR SGX530	microSD, up to 32 GB (dedicated slot)	2 GB, 512 MB RAM	- 800 MHz Cortex-A8	107 Х 59 Х 13.4 mm	118 g	1500 mAh,  Removable Li-Ion	150 EUR	Mini-SIM	GSM / HSPA	HSPA 7.2/2 Mbps	Class 12	Yes, with A-GPS	Wi-Fi 802.11 b/g/n, DLNA, hotspot		microUSB 2.0	2.1, A2DP, EDR	Stereo FM radio, RDS	Yes
Motorola	TFT	capacitive touchscreen	16M	3.7" inc	37.7 cm2	57.3%	480 x 854 px	8 MP, Single	0.3 MP, Single	Android-based OPhone 2.0	- PowerVR SGX530	microSD, up to 32 GB (dedicated slot)	512 MB, 512 MB RAM	- 600 MHz Cortex-A8	110 Х 59.9 Х 17.2 mm	182 g	1380 mAh,  Removable Li-Po	180 EUR	Mini-SIM	GSM	TD-SCDMA, HSUPA	Class 10	Yes, with A-GPS	Wi-Fi 802.11 b/g/n		microUSB 2.0	2.1, A2DP	Stereo FM radio, RDS	Yes
Motorola	TFT	resistive touchscreen	16M	3.2" inc	28.2 cm2	46.8%	480 x 854 px	5 MP, Single	0.3 MP, Single	Android-based OPhone 2.0	- PowerVR SGX530	microSD, up to 32 GB (dedicated slot)	512 MB, 512 MB RAM	- 600 MHz Cortex-A8	108.6 Х 55.5 Х 18.1 mm	173 g	1140 mAh,  Removable Li-Ion	None	Mini-SIM	GSM / HSPA	HSPA, TD-SCDMA	Class 10	Yes, with A-GPS	Wi-Fi 802.11 b/g		microUSB 2.0	2.1, A2DP	Stereo FM radio, RDS	Yes
Motorola	TFT	capacitive touchscreen	65K	3.1" inc	28.6 cm2	40.8%	320 x 480 px	5 MP, Single	0 MP,	Android 1.5 (Cupcake), upgradable to 2.1 (Eclair) in USA	- Adreno 130	microSD, up to 32 GB (dedicated slot), 2 GB included	512 MB, 256 MB RAM	- 528 MHz ARM 11	116.8 Х 60 Х 12.4 mm	130 g	1420 mAh,  Removable Li-Po	100 EUR	Mini-SIM	GSM / HSPA	HSPA 7.2/0.384 Mbps	Class 12	Yes, with A-GPS	Wi-Fi 802.11 b/g, DLNA		microUSB 2.0	2.0, A2DP	Stereo FM radio, RDS	Yes
